element,safe_web_name,element_type,team,safe_team_name
606,daly,3,10,huddersfield
607,rowe,3,10,huddersfield
213,schmeichel,1,11,leicester
214,jakupovic,1,11,leicester
215,morgan,2,11,leicester
216,fuchs,2,11,leicester
217,simpson,2,11,leicester
218,benalouane,2,11,leicester
219,chilwell,2,11,leicester
220,maguire,2,11,leicester
221,pereira,2,11,leicester
222,evans,2,11,leicester
224,albrighton,3,11,leicester
225,gray,3,11,leicester
226,amartey,3,11,leicester
227,ndidi,3,11,leicester
228,iborra,3,11,leicester
229,james,3,11,leicester
230,choudhury,3,11,leicester
231,silva,3,11,leicester
232,diabate,3,11,leicester
233,maddison,3,11,leicester
234,vardy,4,11,leicester
235,okazaki,4,11,leicester
236,iheanacho,4,11,leicester
457,ward,1,11,leicester
492,ghezzal,3,11,leicester
501,benkovic,2,11,leicester
515,soyuncu,2,11,leicester
527,mendy,3,11,leicester
558,knight,2,11,leicester
571,barnes,3,11,leicester
591,tielemans,3,11,leicester
237,mignolet,1,12,liverpool
238,karius,1,12,liverpool
239,lovren,2,12,liverpool
240,moreno,2,12,liverpool
242,gomez,2,12,liverpool
243,matip,2,12,liverpool
244,klavan,2,12,liverpool
245,alexander-arnold,2,12,liverpool
246,van dijk,2,12,liverpool
247,robertson,2,12,liverpool
248,chamberlain,3,12,liverpool
249,henderson,3,12,liverpool
250,lallana,3,12,liverpool
251,mane,3,12,liverpool
252,wijnaldum,3,12,liverpool
253,salah,3,12,liverpool
254,milner,3,12,liverpool
255,fabinho,3,12,liverpool
256,keita,3,12,liverpool
257,firmino,4,12,liverpool
462,shaqiri,3,12,liverpool
468,alisson,1,12,liverpool
472,sturridge,4,12,liverpool
543,origi,4,12,liverpool
557,camacho,3,12,liverpool
597,jones,3,12,liverpool
223,mahrez,3,13,man city
260,ederson,1,13,man city
261,bravo,1,13,man city
262,stones,2,13,man city
263,kompany,2,13,man city
264,otamendi,2,13,man city
265,walker,2,13,man city
266,danilo,2,13,man city
267,mendy,2,13,man city
268,laporte,2,13,man city
269,delph,2,13,man city
270,sterling,3,13,man city
271,david silva,3,13,man city
272,fernandinho,3,13,man city
273,de bruyne,3,13,man city
274,gundogan,3,13,man city
275,sane,3,13,man city
276,bernardo silva,3,13,man city
277,foden,3,13,man city
278,diaz,3,13,man city
279,zinchenko,3,13,man city
280,aguero,4,13,man city
281,jesus,4,13,man city
529,muric,1,13,man city
604,sandler,2,13,man city
282,de gea,1,14,man utd
283,romero,1,14,man utd
284,smalling,2,14,man utd
285,jones,2,14,man utd
286,shaw,2,14,man utd
287,rojo,2,14,man utd
288,valencia,2,14,man utd
289,darmian,2,14,man utd
290,blind,2,14,man utd
291,bailly,2,14,man utd
292,lindelof,2,14,man utd
293,young,2,14,man utd
294,dalot,2,14,man utd
295,sanchez,3,14,man utd
