element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,event,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,attempted_passes,big_chances_created,big_chances_missed,clearances_blocks_interceptions,completed_passes,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,key_passes,offside,open_play_crosses,penalties_conceded,recoveries,tackled,tackles,target_missed,winning_goals
546,39,4,0,True,2016-09-11T15:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1503,2530,2272,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,31,13,4,True,2016-09-10T14:00:00Z,2,1,4,29,0,1,0,0,0,0,0,0,0,0,0,8,2.0,11.3,16.0,2.9,90,13227,64944,23172,9945,4,0,1,1,3,0,0,0,1,1,0,0,0,2,1,1,2,0
207,34,8,0,True,2016-09-10T16:30:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-99,485,14,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,31,1,3,False,2016-09-10T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,1,23,33.4,12.9,8.0,5.4,45,1026,8981,2359,1333,56,0,0,12,50,4,0,0,0,1,0,0,0,14,4,1,0,0
84,39,16,5,False,2016-09-11T15:00:00Z,2,2,4,87,0,1,0,2,0,0,0,0,0,0,0,21,29.4,36.6,42.0,10.8,75,-11441,50086,1932,13373,33,0,0,3,28,0,0,0,0,3,0,1,0,1,0,0,3,0
145,40,15,0,False,2016-09-12T19:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-211,1646,86,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,35,11,0,False,2016-09-10T11:30:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,19,312,57,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,35,11,1,False,2016-09-10T11:30:00Z,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.0,0.0,0.2,49,-825,63016,5285,6110,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
108,36,12,0,False,2016-09-10T14:00:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-552,48535,7687,8239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,40,6,1,True,2016-09-12T19:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,14,20.0,0.3,0.0,2.0,45,-516,9936,525,1041,23,0,0,14,14,1,0,0,1,0,0,0,0,8,1,0,0,0
553,33,7,1,True,2016-09-10T14:00:00Z,1,1,4,11,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.5,8.0,0.8,50,571,817,755,184,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
249,40,6,0,True,2016-09-12T19:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1477,14876,259,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,40,6,1,True,2016-09-12T19:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,15,21.4,13.3,2.0,3.7,50,-1562,236833,15840,17402,41,0,0,7,32,1,0,0,0,1,0,0,0,10,1,0,0,0
295,31,1,0,False,2016-09-10T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-31,316,9,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,35,10,2,True,2016-09-10T11:30:00Z,1,2,4,90,0,0,0,2,0,0,0,0,0,0,0,14,11.4,12.9,9.0,3.3,85,-36995,565091,22865,59860,45,0,0,2,35,5,0,0,1,1,0,0,0,8,5,2,1,0
472,33,7,0,True,2016-09-10T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3498,108864,2290,5788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,37,14,0,False,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,52,147,96,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,34,8,0,True,2016-09-10T16:30:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,3,1630,226,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,38,18,0,True,2016-09-10T14:00:00Z,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-947,10622,258,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,39,16,0,False,2016-09-11T15:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,73,-2184,16062,421,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,31,13,0,True,2016-09-10T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-614,5291,104,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,37,17,0,True,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1148,26382,2199,3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,31,13,1,True,2016-09-10T14:00:00Z,2,1,4,90,0,0,0,1,1,0,0,0,0,5,0,12,23.0,0.0,0.0,2.3,55,6853,646656,35440,28587,18,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0
203,34,8,1,True,2016-09-10T16:30:00Z,4,1,4,15,0,0,0,0,0,0,0,0,0,0,0,5,3.6,3.2,16.0,2.3,82,6585,1174862,102633,96048,13,0,0,0,10,1,0,0,0,0,0,0,0,2,1,1,0,0
324,37,17,0,True,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-17568,26649,23,17591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,37,17,0,True,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4,6516,513,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,40,15,6,False,2016-09-12T19:00:00Z,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,27,34.8,0.0,0.0,3.5,50,17236,102131,23573,6337,49,0,0,13,43,0,0,0,1,0,0,0,0,2,0,0,0,0
245,35,10,0,True,2016-09-10T11:30:00Z,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1204,8631,62,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,31,1,0,False,2016-09-10T14:00:00Z,2,1,4,26,0,0,0,1,0,0,0,1,0,0,0,1,8.4,17.8,7.0,3.3,45,-12724,97023,5808,18532,22,0,0,0,20,0,0,0,1,1,0,1,0,1,0,0,0,0
474,34,8,0,True,2016-09-10T16:30:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-11896,30698,141,12037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,35,11,1,False,2016-09-10T11:30:00Z,1,2,4,59,0,0,0,1,0,0,0,0,0,0,0,2,0.0,5.8,18.0,2.1,82,295797,514491,327202,31405,21,0,0,0,13,0,0,0,0,0,0,0,0,3,2,0,0,0
486,37,17,0,True,2016-09-10T14:00:00Z,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-4492,24950,607,5099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,40,15,0,False,2016-09-12T19:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-15803,89678,1022,16825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,38,18,0,True,2016-09-10T14:00:00Z,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,26,2647,801,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,38,18,0,True,2016-09-10T14:00:00Z,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2358,21162,297,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,32,2,0,False,2016-09-10T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1894,5834,207,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,34,9,0,False,2016-09-10T16:30:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1430,4997,28,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,34,9,2,False,2016-09-10T16:30:00Z,4,1,4,90,0,0,0,4,0,0,0,0,0,0,0,9,7.8,40.9,20.0,6.9,94,-173399,821222,6878,180277,28,1,0,2,21,1,0,0,1,3,0,0,0,3,5,0,0,0
94,38,20,0,False,2016-09-10T14:00:00Z,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,471,1839,812,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,34,8,15,True,2016-09-10T16:30:00Z,4,1,4,90,2,0,0,1,0,0,0,0,0,0,3,53,83.4,52.4,49.0,18.5,84,-33962,265116,12675,46637,55,2,0,1,46,1,0,0,1,4,1,0,0,4,3,0,0,0
539,38,20,5,False,2016-09-10T14:00:00Z,2,4,4,90,0,1,0,2,0,0,0,0,0,0,0,31,37.0,41.6,25.0,10.4,60,12765,17362,16604,3839,34,1,1,0,32,2,0,0,0,3,0,2,0,9,2,1,0,0
173,34,9,-1,False,2016-09-10T16:30:00Z,4,1,4,90,0,0,0,4,0,0,0,1,0,0,0,4,5.0,0.1,14.0,1.9,50,3076,66459,7173,4097,19,0,0,5,12,0,0,0,2,0,0,0,0,3,0,1,2,0
155,33,3,9,False,2016-09-10T14:00:00Z,1,1,4,90,1,0,0,1,0,0,0,0,0,0,2,33,46.6,34.5,26.0,10.7,56,-1917,165883,33270,35187,57,0,0,3,48,1,0,0,1,2,0,0,0,8,0,0,0,0
484,31,13,0,True,2016-09-10T14:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2133,56292,14766,12633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,40,15,17,False,2016-09-12T19:00:00Z,0,3,4,88,3,0,1,0,0,0,0,0,0,0,3,74,104.0,12.3,137.0,25.3,90,113988,347076,143212,29224,15,0,1,1,12,0,0,0,1,1,1,0,0,1,0,0,3,1
166,34,9,0,False,2016-09-10T16:30:00Z,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-61,10643,574,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,40,15,1,False,2016-09-12T19:00:00Z,0,3,4,45,0,0,0,0,0,0,0,0,0,0,0,3,3.4,14.0,2.0,1.9,77,-21626,715562,60008,81634,25,0,0,0,20,0,0,0,1,1,0,0,0,0,2,1,0,0
71,33,7,0,True,2016-09-10T14:00:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-750,3189,28,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,39,16,0,False,2016-09-11T15:00:00Z,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-639,3453,36,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,31,1,0,False,2016-09-10T14:00:00Z,2,1,4,90,0,0,0,2,0,0,0,1,0,0,0,7,22.0,2.4,0.0,2.4,54,-736,20164,596,1332,29,0,0,5,25,1,0,0,0,0,0,0,0,5,0,0,0,0
536,32,19,0,True,2016-09-10T14:00:00Z,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,85,306,128,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,33,3,1,False,2016-09-10T14:00:00Z,1,1,4,18,0,0,0,0,0,0,0,0,0,0,0,4,2.8,10.8,2.0,1.6,49,974,3003,1673,699,13,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0
318,37,17,0,True,2016-09-10T14:00:00Z,0,4,4,90,0,0,0,4,0,0,0,0,0,0,0,20,37.4,0.0,45.0,8.2,50,-4145,71224,1144,5289,32,0,0,9,21,0,0,0,1,0,0,0,0,6,0,5,1,0
212,34,8,12,True,2016-09-10T16:30:00Z,4,1,4,90,1,1,0,1,0,0,0,0,0,0,2,50,66.8,44.1,38.0,14.9,89,-84,457539,38211,38295,56,2,0,1,43,5,0,0,1,3,1,0,0,5,3,1,0,1
448,32,2,2,False,2016-09-10T14:00:00Z,1,0,4,62,0,0,1,0,0,0,0,0,0,0,0,-1,0.0,0.3,58.0,5.7,64,-5986,34787,1571,7557,4,0,1,0,3,0,0,0,1,0,1,0,0,2,2,1,2,0
449,32,2,1,False,2016-09-10T14:00:00Z,1,0,4,28,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.6,2.0,0.3,65,-4120,143184,20821,24941,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0
