,event,team_h,team_a,kickoff_time
7521,30,15,8,2019-03-09T15:00:00Z
16146,30,16,17,2019-03-09T15:00:00Z
1130,31,2,15,2019-03-16T15:00:00Z
3237,31,4,11,2019-03-16T15:00:00Z
5401,31,8,6,2019-03-17T16:30:00Z
8770,31,9,12,2019-03-17T14:15:00Z
9801,31,19,10,2019-03-16T15:00:00Z
30,32,1,15,2019-04-01T19:00:00Z
2165,32,3,16,2019-03-30T15:00:00Z
3238,32,4,20,2019-03-30T15:00:00Z
4275,32,5,6,2019-03-31T13:05:00Z
2166,32,6,3,2019-04-03T18:45:00Z
6482,32,7,10,2019-03-30T15:00:00Z
8771,32,9,13,2019-03-30T12:30:00Z
1131,32,11,2,2019-03-30T15:00:00Z
12076,32,12,17,2019-03-31T15:30:00Z
4276,32,13,5,2019-04-03T18:45:00Z
13938,32,14,18,2019-03-30T15:00:00Z
6483,32,17,7,2019-04-03T18:45:00Z
8772,32,18,9,2019-04-02T18:45:00Z
7523,32,19,8,2019-03-30T17:30:00Z
13939,32,20,14,2019-04-02T18:45:00Z
1132,33,2,4,2019-04-06T14:00:00Z
5404,33,6,19,2019-04-08T19:00:00Z
31,33,8,1,2019-04-07T13:05:00Z
9803,33,10,11,2019-04-06T14:00:00Z
6484,33,15,7,2019-04-06T14:00:00Z
12077,33,16,12,2019-04-05T19:00:00Z
1133,34,3,2,2019-04-13T14:00:00Z
2168,34,3,5,2019-04-16T18:45:00Z
3240,34,4,5,2019-04-13T14:00:00Z
6485,34,7,13,2019-04-14T13:05:00Z
7525,34,9,8,2019-04-13T14:00:00Z
10960,34,11,15,2019-04-12T19:00:00Z
5405,34,12,6,2019-04-14T15:30:00Z
13940,34,14,19,2019-04-13T16:30:00Z
16149,34,16,20,2019-04-13T14:00:00Z
9804,34,17,10,2019-04-13T11:30:00Z
32,34,18,1,2019-04-15T19:00:00Z
33,35,1,7,2019-04-21T15:00:00Z
1134,35,2,9,2019-04-20T14:00:00Z
4279,35,5,12,2019-04-21T15:00:00Z
3241,35,6,4,2019-04-22T19:00:00Z
7526,35,8,14,2019-04-21T12:30:00Z
9805,35,10,18,2019-04-20T14:00:00Z
13020,35,13,17,2019-04-20T11:30:00Z
13021,35,14,13,2019-04-24T19:00:00Z
15019,35,15,16,2019-04-20T16:30:00Z
2170,35,17,3,2019-04-23T18:45:00Z
16151,35,18,16,2019-04-23T18:45:00Z
10961,35,19,11,2019-04-20T14:00:00Z
34,35,20,1,2019-04-24T18:45:00Z
2169,35,20,3,2019-04-20T14:00:00Z
2171,36,3,15,2019-04-27T16:30:00Z
3242,36,4,13,2019-04-28T13:05:00Z
6487,36,7,8,2019-04-27T14:00:00Z
4280,36,9,5,2019-04-27T14:00:00Z
35,36,11,1,2019-04-28T11:00:00Z
9806,36,12,10,2019-04-26T19:00:00Z
5407,36,14,6,2019-04-28T15:30:00Z
1135,36,16,2,2019-04-27T14:00:00Z
17323,36,17,19,2019-04-27T11:30:00Z
18411,36,18,20,2019-04-27T14:00:00Z
36,37,1,3,2019-05-05T15:30:00Z
1136,37,2,17,2019-05-04T11:30:00Z
4281,37,5,7,2019-05-04T16:30:00Z
5408,37,6,18,2019-05-05T13:00:00Z
3243,37,8,4,2019-05-03T19:00:00Z
9807,37,10,14,2019-05-05T13:00:00Z
10963,37,13,11,2019-05-06T19:00:00Z
12081,37,15,12,2019-05-04T18:45:00Z
16153,37,19,16,2019-05-04T14:00:00Z
8776,37,20,9,2019-05-04T14:00:00Z
2173,38,3,13,2019-05-12T14:00:00Z
37,38,4,1,2019-05-12T14:00:00Z
1137,38,7,2,2019-05-12T14:00:00Z
8777,38,9,15,2019-05-12T14:00:00Z
5409,38,11,6,2019-05-12T14:00:00Z
12082,38,12,20,2019-05-12T14:00:00Z
4282,38,14,5,2019-05-12T14:00:00Z
9808,38,16,10,2019-05-12T14:00:00Z
7529,38,17,8,2019-05-12T14:00:00Z
18413,38,18,19,2019-05-12T14:00:00Z
